Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N13_id2_Mix1_Diam_5_p_3,13,2,9,5,2,XX_Mixer,3,0.9583313793076366,17,6396,11.499976551691638,12,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,10100110011
N13_id2_Mix2_Diam_5_p_1,13,2,9,5,2,XX+YY_Mixer,1,0.8749999745415948,7,868,10.499999694499138,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,1100011101111
N13_id2_Mix2_Diam_5_p_2,13,2,9,5,2,XX+YY_Mixer,2,0.9166676050841212,12,4015,11.000011261009456,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,1101011001100
N13_id2_Mix2_Diam_5_p_3,13,2,9,5,2,XX+YY_Mixer,3,0.9583327702813556,17,7298,11.499993243376268,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,10100110011
N13_id2_Mix1_Diam_4_p_1,13,2,9,4,5,XX_Mixer,1,0.8749999949656528,8,1054,10.499999939587834,11,Intermediate_Sweep,Standard_Rxx,Tree,12,4,1,0,1100111101011
N13_id2_Mix1_Diam_4_p_2,13,2,9,4,5,XX_Mixer,2,0.958333267634972,13,5063,11.499999211619665,12,Intermediate_Sweep,Standard_Rxx,Tree,12,4,1,0,1101011001100
N13_id2_Mix1_Diam_4_p_3,13,2,9,4,5,XX_Mixer,3,0.9583323391521334,18,10829,11.4999880698256,12,Intermediate_Sweep,Standard_Rxx,Tree,12,4,1,0,1101011001100
N13_id2_Mix2_Diam_4_p_1,13,2,9,4,5,XX+YY_Mixer,1,0.8749999764744567,9,1550,10.49999971769348,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,4,2,0,1100111101011
N13_id2_Mix2_Diam_4_p_2,13,2,9,4,5,XX+YY_Mixer,2,0.9166666117992796,16,6405,10.999999341591357,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,4,2,0,1100111101011
N13_id2_Mix2_Diam_4_p_3,13,2,9,4,5,XX+YY_Mixer,3,0.9583327927637304,22,7280,11.499993513164764,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,4,2,0,10100110011
N13_id2_Mix1_Diam_3_p_1,13,2,9,3,8,XX_Mixer,1,0.8749999949082644,8,1122,10.499999938899172,12,Intermediate_Sweep,Standard_Rxx,Tree,12,3,1,0,10100110011
N13_id2_Mix1_Diam_3_p_2,13,2,9,3,8,XX_Mixer,2,0.9166666114859612,14,3752,10.999999337831532,11,Intermediate_Sweep,Standard_Rxx,Tree,12,3,1,0,11100010000
N13_id2_Mix1_Diam_3_p_3,13,2,9,3,8,XX_Mixer,3,0.9583323298998762,20,7000,11.499987958798512,12,Intermediate_Sweep,Standard_Rxx,Tree,12,3,1,0,1101011001100
N13_id2_Mix2_Diam_3_p_1,13,2,9,3,8,XX+YY_Mixer,1,0.8749999855077775,10,2142,10.49999982609333,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,3,2,0,10100110011
N13_id2_Mix2_Diam_3_p_2,13,2,9,3,8,XX+YY_Mixer,2,0.9999999443782176,19,5159,11.999999332538613,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,3,2,0,10100110011
N13_id2_Mix2_Diam_3_p_3,13,2,9,3,8,XX+YY_Mixer,3,0.9999996582055418,27,10900,11.9999958984665,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,3,2,0,1101011001100
N13_id2_Mix1_Diam_2_p_1,13,2,9,2,18,XX_Mixer,1,0.8749999801045844,11,1584,10.499999761255012,12,Intermediate_Sweep,Standard_Rxx,Tree,12,2,1,0,10100110011
N13_id2_Mix1_Diam_2_p_2,13,2,9,2,18,XX_Mixer,2,0.9166662230658876,21,6090,10.999994676790651,11,Intermediate_Sweep,Standard_Rxx,Tree,12,2,1,0,1100011101011
N13_id2_Mix1_Diam_2_p_3,13,2,9,2,18,XX_Mixer,3,0.9583321842907108,31,10660,11.499986211488528,12,Intermediate_Sweep,Standard_Rxx,Tree,12,2,1,0,10100110011
N13_id2_Mix2_Diam_2_p_1,13,2,9,2,18,XX+YY_Mixer,1,0.8749999763189118,15,1892,10.499999715826942,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,2,2,0,1100111101011
N13_id2_Mix2_Diam_2_p_2,13,2,9,2,18,XX+YY_Mixer,2,0.9583332064853352,29,6525,11.499998477824022,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,2,2,0,1101011001100
N13_id2_Mix2_Diam_2_p_3,13,2,9,2,18,XX+YY_Mixer,3,0.9999943280434964,43,12610,11.999931936521955,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,2,2,0,1101011001100
N13_id2_Mix1_Diam_1_p_1,13,2,9,1,66,XX_Mixer,1,0.9166666159436222,26,7084,10.999999391323469,11,Hypo_1,Standard_Rxx,Tree,12,1,1,0,1100111101011
N13_id2_Mix1_Diam_1_p_2,13,2,9,1,66,XX_Mixer,2,0.957856066203872,51,15006,11.494272794446465,12,Hypo_1,Standard_Rxx,Tree,12,1,1,0,10100110011
N13_id2_Mix1_Diam_1_p_3,13,2,9,1,66,XX_Mixer,3,0.9565533702317444,76,15070,11.478640442780932,12,Hypo_1,Standard_Rxx,Tree,12,1,1,0,10100110011
N13_id2_Mix2_Diam_1_p_1,13,2,9,1,66,XX+YY_Mixer,1,0.958333001580134,47,7268,11.499996018961609,12,Hypo_1,XX+YY_Driver,Tree,12,1,2,0,10100110011
N13_id2_Mix2_Diam_1_p_2,13,2,9,1,66,XX+YY_Mixer,2,0.9999997608684168,93,14640,11.999997130421,12,Hypo_1,XX+YY_Driver,Tree,12,1,2,0,10100110011
N13_id2_Mix2_Diam_1_p_3,13,2,9,1,66,XX+YY_Mixer,3,0.998663588596208,139,15070,11.983963063154494,12,Hypo_1,XX+YY_Driver,Tree,12,1,2,0,10100110011
N13_id3_Mix1_Diam_9_p_1,13,3,9,9,0,Standard_QAOA,1,0.8045583098948477,7,988,9.654699718738172,12,Standard_QAOA,Standard_Rxx,Tree,12,9,1,0,110011100110
N13_id3_Mix1_Diam_9_p_2,13,3,9,9,0,Standard_QAOA,2,0.9166666453901918,11,2703,10.999999744682302,12,Standard_QAOA,Standard_Rxx,Tree,12,9,1,0,110011100110
N13_id3_Mix1_Diam_9_p_3,13,3,9,9,0,Standard_QAOA,3,0.9583331891862747,15,5320,11.4999982702353,12,Standard_QAOA,Standard_Rxx,Tree,12,9,1,0,1001100011001
N13_id3_Mix1_Diam_6_p_1,13,3,9,6,1,XX_Mixer,1,0.8045583171283907,7,1107,9.654699805540687,11,Intermediate_Sweep,Standard_Rxx,Tree,12,6,1,0,1100110011001
N13_id3_Mix1_Diam_6_p_2,13,3,9,6,1,XX_Mixer,2,0.9166665284664808,11,1855,10.99999834159777,12,Intermediate_Sweep,Standard_Rxx,Tree,12,6,1,0,1001100011001
N13_id3_Mix1_Diam_6_p_3,13,3,9,6,1,XX_Mixer,3,0.958332972580691,15,8769,11.499995670968293,12,Intermediate_Sweep,Standard_Rxx,Tree,12,6,1,0,110011100110
N13_id3_Mix2_Diam_6_p_1,13,3,9,6,1,XX+YY_Mixer,1,0.7981125115513921,7,1296,9.577350138616705,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,6,2,0,110111100001
N13_id3_Mix2_Diam_6_p_2,13,3,9,6,1,XX+YY_Mixer,2,0.9166666209348868,12,3392,10.999999451218642,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,6,2,0,110011100110
N13_id3_Mix2_Diam_6_p_3,13,3,9,6,1,XX+YY_Mixer,3,0.9583330836612116,16,10902,11.499997003934538,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,6,2,0,100111011001
N13_id3_Mix1_Diam_5_p_1,13,3,9,5,3,XX_Mixer,1,0.8045582912506859,8,1102,9.65469949500823,12,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,1001100011001
N13_id3_Mix1_Diam_5_p_2,13,3,9,5,3,XX_Mixer,2,0.9166665882670304,13,2337,10.999999059204365,11,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,110111100001
N13_id3_Mix1_Diam_5_p_3,13,3,9,5,3,XX_Mixer,3,0.9583326467251376,19,7820,11.499991760701652,12,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,110011100110
N13_id3_Mix2_Diam_5_p_1,13,3,9,5,3,XX+YY_Mixer,1,0.7981125003924091,9,1218,9.57735000470891,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,110011100110
N13_id3_Mix2_Diam_5_p_2,13,3,9,5,3,XX+YY_Mixer,2,0.9166666015768464,16,4788,10.999999218922156,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,110111100001
N13_id3_Mix2_Diam_5_p_3,13,3,9,5,3,XX+YY_Mixer,3,0.9583361360745865,23,7140,11.500033632895036,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,110011100110
N13_id3_Mix1_Diam_4_p_1,13,3,9,4,4,XX_Mixer,1,0.7981124872703944,8,1320,9.577349847244731,12,Intermediate_Sweep,Standard_Rxx,Tree,12,4,1,0,110011100110
N13_id3_Mix1_Diam_4_p_2,13,3,9,4,4,XX_Mixer,2,0.9166664606767913,13,4602,10.999997528121494,12,Intermediate_Sweep,Standard_Rxx,Tree,12,4,1,0,1001100011001
N13_id3_Mix1_Diam_4_p_3,13,3,9,4,4,XX_Mixer,3,0.9583327276379024,19,8096,11.499992731654828,12,Intermediate_Sweep,Standard_Rxx,Tree,12,4,1,0,110011100110
N13_id3_Mix2_Diam_4_p_1,13,3,9,4,4,XX+YY_Mixer,1,0.8045582823871514,9,2700,9.654699388645817,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,4,2,0,1001100011001
N13_id3_Mix2_Diam_4_p_2,13,3,9,4,4,XX+YY_Mixer,2,0.916666621915668,16,4071,10.999999462988017,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,4,2,0,1001100011001
N13_id3_Mix2_Diam_4_p_3,13,3,9,4,4,XX+YY_Mixer,3,0.9999996127590132,23,13992,11.999995353108156,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,4,2,0,110011100110
N13_id3_Mix1_Diam_3_p_1,13,3,9,3,6,XX_Mixer,1,0.8045582413554572,9,1312,9.654698896265486,11,Intermediate_Sweep,Standard_Rxx,Tree,12,3,1,0,1100110011001
N13_id3_Mix1_Diam_3_p_2,13,3,9,3,6,XX_Mixer,2,0.9166664543045796,16,4914,10.999997451654956,12,Intermediate_Sweep,Standard_Rxx,Tree,12,3,1,0,110011100110
