Graph_Type,Base_Diameter,Achieved_Reduced_Diameter,QAOA_Layers_p,Formal_Strategy,Mean_AR,Max_AR,Min_AR,Std_AR,Unique_N_Tested,Total_Graphs_Tested,Baseline_Mean_AR,Absolute_AR_Lift,Improvement_Percentage
Bipartite,6,1,3,XX_Mixer,0.9636497077996993,0.9999998157077544,0.9303013734336828,0.03365153255778178,3,5,0.9597280439185223,0.003921663881176984,0.40862241194547405
Bipartite,6,1,3,XX+YY_Mixer,0.9865049797270737,0.9999988487325068,0.951139534633996,0.020385746678699142,3,5,0.9597280439185223,0.02677693580855145,2.7900545345348604
Bipartite,7,7,1,Standard_QAOA,0.7965367886475824,0.833333326682284,0.7380952232608248,0.051175721710910664,3,3,0.7965367886475824,0.0,0.0
Bipartite,7,5,1,XX_Mixer,0.7380951859428447,0.7380951859428447,0.7380951859428447,0.0,1,1,0.7965367886475824,-0.05844160270473764,-7.336962151360768
Bipartite,7,5,1,XX+YY_Mixer,0.7380952222799202,0.7380952222799202,0.7380952222799202,0.0,1,1,0.7965367886475824,-0.05844156636766218,-7.33695758947788
Bipartite,7,4,1,XX_Mixer,0.7965367783241305,0.8333333261114187,0.738095196017815,0.0511757363936168,3,3,0.7965367886475824,-1.0323451871130374e-08,-1.2960420683969005e-06
Bipartite,7,4,1,XX+YY_Mixer,0.7965367868973133,0.8333333246373157,0.7380952227470933,0.05117572069973583,3,3,0.7965367886475824,-1.7502690408122135e-09,-2.197348654522218e-07
Bipartite,7,3,1,XX_Mixer,0.7965367914834007,0.833333331311345,0.7380952293994589,0.05117571939202879,3,3,0.7965367886475824,2.835818357915798e-09,3.560185038949243e-07
Bipartite,7,3,1,XX+YY_Mixer,0.7965367648620806,0.8333333213521682,0.7380951757959672,0.05117574297124522,3,3,0.7965367886475824,-2.378550179038541e-08,-2.9861146565207807e-06
Bipartite,7,2,1,XX_Mixer,0.7965367820289542,0.8333333180736953,0.7380952182038305,0.05117572019440207,3,3,0.7965367886475824,-6.618628201060517e-09,-8.309256139064338e-07
Bipartite,7,2,1,XX+YY_Mixer,0.8243145386418932,0.8333333139362394,0.8181817847601007,0.00797740865125608,3,3,0.7965367886475824,0.02777774999431082,3.487315387086375
Bipartite,7,1,1,XX_Mixer,0.8150554755937499,0.8888888706691868,0.7380957510779941,0.0754451567752231,3,3,0.7965367886475824,0.01851868694616754,2.3249003950727625
Bipartite,7,1,1,XX+YY_Mixer,0.9642921236243858,0.9999999211535592,0.938331061335479,0.031968909954804565,3,3,0.7965367886475824,0.1677553349768034,21.06058845839757
Bipartite,7,7,2,Standard_QAOA,0.9425203293581162,0.9545453867351792,0.9285711899957644,0.013093559205924178,3,3,0.9425203293581162,0.0,0.0
Bipartite,7,5,2,XX_Mixer,0.9285712369454924,0.9285712369454924,0.9285712369454924,0.0,1,1,0.9425203293581162,-0.013949092412623876,-1.4799778825061114
Bipartite,7,5,2,XX+YY_Mixer,0.95238018338678,0.95238018338678,0.95238018338678,0.0,1,1,0.9425203293581162,0.00985985402866374,1.046115794168449
Bipartite,7,4,2,XX_Mixer,0.9504568407891525,0.9545454148442726,0.9444444250622333,0.00531821151589786,3,3,0.9425203293581162,0.007936511431036242,0.8420520156250886
Bipartite,7,4,2,XX+YY_Mixer,0.9583921445511628,0.9761903548753944,0.9444420713833196,0.016220187910565925,3,3,0.9425203293581162,0.01587181519304659,1.6839758993692748
Bipartite,7,3,2,XX_Mixer,0.9504568483198135,0.95454543337356,0.9444442600330208,0.0053183425091360625,3,3,0.9425203293581162,0.007936518961697225,0.8420528146169776
Bipartite,7,3,2,XX+YY_Mixer,0.9814813683203937,0.9999999137010036,0.9444443924370604,0.03207496199436967,3,3,0.9425203293581162,0.03896103896227743,4.133708074902854
Bipartite,7,2,2,XX_Mixer,0.9240018064882354,0.9545453574227892,0.888889413519908,0.03306556336419738,3,3,0.9425203293581162,-0.01851852286988087,-1.9647876330150378
Bipartite,7,2,2,XX+YY_Mixer,0.9886293068908995,0.99999992905048,0.96588813669027,0.019694431105565697,3,3,0.9425203293581162,0.0461089775327832,4.892093687165852
Bipartite,7,1,2,XX_Mixer,0.9689755958097127,0.9999998926925752,0.9523816002262404,0.02688960098338637,3,3,0.9425203293581162,0.02645526645159646,2.8068642794806626
Bipartite,7,1,2,XX+YY_Mixer,0.999974033435327,0.9999995440443396,0.999923889640514,4.342801614806139e-05,3,3,0.9425203293581162,0.05745370407721073,6.095752238717055
Bipartite,7,7,3,Standard_QAOA,0.9583930802307153,0.9761896580017848,0.9444443751925052,0.016218672528493138,3,3,0.9583930802307153,0.0,0.0
Bipartite,7,5,3,XX_Mixer,0.9761894519807596,0.9761894519807596,0.9761894519807596,0.0,1,1,0.9583930802307153,0.017796371750044226,1.85689693687689
Bipartite,7,5,3,XX+YY_Mixer,0.9999977227955054,0.9999977227955054,0.9999977227955054,0.0,1,1,0.9583930802307153,0.04160464256479002,4.341083363704428
Bipartite,7,4,3,XX_Mixer,0.9583926600789132,0.9761884337307718,0.9444443075288784,0.016218026203317838,3,3,0.9583930802307153,-4.201518021273998e-07,-4.383919404199538e-05
Bipartite,7,4,3,XX+YY_Mixer,0.999997004542351,0.9999995807102722,0.9999956510634938,2.231985071956254e-06,3,3,0.9583930802307153,0.04160392431163562,4.341008420221507
Bipartite,7,3,3,XX_Mixer,0.9583930041585309,0.9761896533740826,0.944444350867174,0.016218704087819336,3,3,0.9583930802307153,-7.607218444061203e-08,-7.9374722136244e-06
Bipartite,7,3,3,XX+YY_Mixer,0.9999995120038294,0.9999999041857524,0.9999991126973105,3.9579231713770666e-07,3,3,0.9583930802307153,0.04160643177311407,4.341270052064451
Bipartite,7,2,3,XX_Mixer,0.9582258644641737,0.9756887210697331,0.9444438001090796,0.01594435464836026,3,3,0.9583930802307153,-0.00016721576654166181,-0.017447513968006503
Bipartite,7,2,3,XX+YY_Mixer,0.999999171438389,0.9999998332333168,0.9999984245262612,7.08200250902944e-07,3,3,0.9583930802307153,0.04160609120767367,4.341234517016523
Bipartite,7,1,3,XX_Mixer,0.9908110289489622,0.9999873961441756,0.9726145562342264,0.0157588013145484,3,3,0.9583930802307153,0.03241794871824688,3.3825315924070383
Bipartite,7,1,3,XX+YY_Mixer,0.9950584719672153,0.9999887935169413,0.9852345640170422,0.008507773676344692,3,3,0.9583930802307153,0.036665391736499964,3.8257154076773436
Bipartite,9,9,1,Standard_QAOA,0.8499999945164969,0.8499999945164969,0.8499999945164969,0.0,1,1,0.8499999945164969,0.0,0.0
